Unnamed: 0,Country,Shipment Mode,Qauntity_of_pack,Pack Price,Weight (Kilograms),Freight_Cost_USD,Product_Insurance_USD
4371,Mozambique,Truck,60,11.22,16015,12239.88,2905.23
3517,Nigeria,Air Charter,60,11.4,361,7329.83,71.28
1388,Uganda,Truck,30,5.35,350,1854.0,51.91
5811,Côte dIvoire,Truck,30,4.64,8889,33073.6,47.7
1096,Zimbabwe,Truck,60,3.95,1153,1489.8,113.08
3834,South Africa,Ocean,30,6.65,7228,8809.08,850.07
4350,Tanzania,Air,100,80.0,639,12022.17,149.96
4749,Zimbabwe,Truck,60,2.44,8433,15219.71,67.93
1614,Haiti,Air,100,72.0,6,2219.44,1.15
200,Ethiopia,Air,20,32.0,10,490.23,1.21
4888,Tanzania,Air,60,2.6,3396,16416.58,161.44
5597,Zimbabwe,Air,300,30.82,3287,26515.21,120.21
5203,Nigeria,Air Charter,60,8.58,22700,20225.07,796.01
5736,Nigeria,Air,100,89.0,6010,30132.32,549.87
5260,Nigeria,Air Charter,60,8.58,5041,20666.08,330.42
5762,Nigeria,Air Charter,60,3.75,8039,30936.1,786.02
1472,Haiti,Air,60,7.0,226,1962.1,9.01
3500,Guyana,Air,240,1.45,552,7317.96,0.18
3695,Côte dIvoire,Air,40,110.0,1101,8074.03,215.6
4040,Côte dIvoire,Air,300,30.82,844,9768.22,23.6
5447,Tanzania,Air,25,20.0,3335,23650.43,330.0
1422,Uganda,Air,20,32.0,242,1899.22,24.67
5484,Zambia,Air,100,80.0,1094,24400.67,374.22
4702,Nigeria,Air,100,80.0,842,14829.77,301.84
5219,Nigeria,Air Charter,60,2.58,3934,20264.93,192.74
3596,South Africa,Ocean,30,4.3,8826,7609.7,801.88
2755,Zimbabwe,Truck,30,6.08,1373,4777.08,176.12
3831,South Africa,Ocean,30,6.65,11,8809.05,1.1
4264,Vietnam,Air,30,4.3,3919,11372.45,447.18
396,Uganda,Air,60,7.53,33,747.17,9.56
2491,Vietnam,Air,30,13.0,30,4111.71,3.82
1262,Tanzania,Truck,60,14.63,1500,1698.83,577.9
4230,Côte dIvoire,Air,30,10.62,4156,11180.32,757.49
3582,Mozambique,Air,60,7.2,6883,7534.18,1311.71
3711,Uganda,Air,60,2.35,2145,8143.97,74.13
2840,Uganda,Truck,30,5.78,2804,5050.8,370.0
5127,Haiti,Air,60,3.4,1667,19069.17,97.07
4602,Vietnam,Air,30,4.95,6142,13850.65,139.78
6097,Haiti,Air,30,4.04,6528,63922.3,0.25
199,Botswana,Air,1,23.0,16,486.18,0.76
3546,Nigeria,Air Charter,30,26.25,1225,7445.71,435.37
111,Uganda,Air,60,55.5,137,309.95,74.11
181,"Congo, DRC",Air,60,14.63,28,456.17,0.23
4125,Tanzania,Air,60,2.73,2262,10536.12,118.45
5226,Tanzania,Air,30,12.42,6007,20395.6,337.82
1747,Uganda,Air,30,4.75,358,2485.92,26.41
1494,Zambia,Truck,60,7.12,256,2014.86,33.39
2141,Zimbabwe,Truck,60,3.4,632,3302.14,26.66
2735,Guyana,Air,20,32.0,362,4717.51,54.37
5418,Côte dIvoire,Air,100,80.0,1930,23013.2,390.64
6037,Nigeria,Air Charter,60,7.72,32219,50569.84,1245.94
4577,South Africa,Ocean,30,7.03,7965,13688.03,1758.17
6086,Nigeria,Air,100,89.0,3787,61637.1,1027.17
1276,Namibia,Air,100,71.99,33,1715.17,16.36
3890,Haiti,Ocean,30,10.74,5342,9195.61,513.39
517,Haiti,Air,30,5.5,20,870.96,1.48
3018,Vietnam,Air,30,10.5,3195,5583.11,245.59
4656,Zimbabwe,Truck,60,8.58,13288,14451.69,256.22
4462,Tanzania,Air,120,41.1,3088,12937.16,1006.95
1766,Vietnam,Air,60,7.0,161,2514.05,8.96
331,Rwanda,Air,300,41.1,50,661.06,3.29
5719,Nigeria,Air Charter,60,8.26,5416,29674.92,0.15
551,Uganda,Air,30,1.25,64,896.35,1.54
172,Vietnam,Air,30,13.0,17,436.62,7.06
2397,Vietnam,Air,60,7.75,270,3850.43,16.12
4198,Mozambique,Truck,30,4.75,1866,10959.63,125.45
5040,Dominican Republic,Air,60,2.33,1787,18046.12,2.5
1124,Uganda,Air,60,8.76,202,1534.1,41.55
1342,South Africa,Air,60,2.53,1727,1791.42,174.93
3755,Uganda,Air,100,80.0,1010,8399.6,205.6
1229,Côte dIvoire,Air,30,20.5,154780,1664.12,64.57
5642,Tanzania,Truck,30,11.89,5446,27804.65,611.15
106,Uganda,Air,120,36.0,151,297.25,18.54
5594,Nigeria,Air Charter,60,2.26,394,26340.0,17.89
2506,Zambia,Truck,60,11.36,458,4130.15,54.14
3277,Mozambique,Air,60,8.76,2773,6355.08,524.77
2368,Zimbabwe,Air,100,72.0,324,3791.81,141.12
5363,Côte dIvoire,Truck,120,19.66,21,22007.39,434.46
2429,Guyana,Air,120,33.74,276,3940.18,62.11
2814,Mozambique,Air,100,77.7,2675,4969.35,1512.82
1918,Kenya,Air,20,32.0,170,2865.63,31.36
5552,Zimbabwe,Truck,60,7.27,704,25568.0,80.18
2798,Uganda,Truck,60,9.81,836,4911.0,2.16
3161,Haiti,Air,60,1.46,177,6036.96,11.62
3140,Zambia,Air,60,3.4,4733,6002.19,272.0
2123,Mozambique,Truck,60,2.18,6342,3290.58,4.55
5429,Côte dIvoire,Air,100,80.0,1808,23237.62,435.42
1811,Haiti,Air,60,8.15,178,2599.0,40.62
158,Mozambique,Air,240,21.05,141,411.07,13.37
2832,Uganda,Air,20,32.0,780,5024.15,81.61
3660,Côte dIvoire,Air,40,76.0,366,7915.98,40.25
1729,Mozambique,Truck,240,1.95,3787,2451.86,32.4
2036,Swaziland,Air,60,14.63,1926,3134.82,101.97
5819,Tanzania,Air,60,2.18,6320,33343.63,215.59
2935,Côte dIvoire,Air,100,70.0,255,5303.05,124.99
787,Haiti,Air,60,15.0,38,1128.54,4.46
5780,Ghana,Air,30,3.19,3862,31401.36,196.76
1641,Rwanda,Truck,240,8.5,297,2282.79,6.99
3087,Zambia,Truck,30,5.78,574,5837.94,76.06
2650,Vietnam,Air,30,23.26,67,4476.29,21.49
4120,Rwanda,Air,60,7.0,1766,10500.0,186.37
4203,Côte dIvoire,Air,240,2.1,5317,11005.67,22.75
5975,Nigeria,Air,20,27.0,3276,43664.71,496.8
2432,Zambia,Truck,30,19.92,1456,3949.18,564.93
2736,Guyana,Air,90,8.26,38,4718.3,0.6
31,Zimbabwe,Truck,30,13.15,102,129.75,14.69
1346,Tanzania,Air,60,22.0,107,1794.89,37.32
1020,Côte dIvoire,Air,60,2.15,141,1400.0,3.94
1996,Côte dIvoire,Truck,30,5.36,852,3026.61,73.4
2352,Burundi,Air,60,8.58,652,3763.2,23.43
4822,Kenya,Air,100,89.0,1474,15687.32,1643.1
815,Tanzania,Air,120,41.1,587,1153.97,169.66
5187,Uganda,Truck,60,7.0,3984,20074.74,391.67
328,Guyana,Air,60,11.23,5,660.43,0.57
3555,Nigeria,Air Charter,60,11.4,4724,7445.8,937.31
2524,Vietnam,Air,240,1.92,941,4193.49,3.07
546,Uganda,Air,120,18.9,9014,892.92,1.96
4981,South Africa,Ocean,60,2.87,10859,17278.96,1066.94
2864,Vietnam,Air,120,60.8,2235,5134.12,644.05
4211,Guyana,Air,20,32.0,885,11057.25,160.0
2661,Sudan,Air,25,20.0,430,4500.71,0.99
4383,Mozambique,Truck,60,11.22,26760,12405.54,3441.1
6164,Tanzania,Air,120,18.9,20132,97918.87,755.01
538,Rwanda,Air,30,5.99,4,889.55,0.36
1539,Zimbabwe,Truck,30,2.0,143,2099.0,1.72
4367,South Africa,Ocean,60,2.47,8183,12225.76,898.44
214,Liberia,Air,20,32.0,17,515.11,2.64
1571,Tanzania,Air,300,30.82,257,2160.36,10.06
1246,South Sudan,Air,20,32.0,177,1692.35,0.59
3848,Ethiopia,Air,1,24.5,950,8859.91,46.78
943,Uganda,Air,50,1242.53,68,1305.28,57.48
762,Nigeria,Air,60,3.9,58,1102.98,4.89
3031,Haiti,Air,100,97.68,568,5631.87,526.5
324,Haiti,Air,60,10.28,19,658.68,0.33
2025,Vietnam,Air,60,8.76,579,3119.75,120.57
5218,Nigeria,Air Charter,60,2.58,40,20264.93,1.95
2561,Côte dIvoire,Air,60,2.9,373,4266.24,14.78
1310,Haiti,Air,240,15.0,98,1763.84,8.06
4979,South Africa,Ocean,60,2.37,11917,17266.6,1206.55
3495,Zambia,Truck,30,7.11,8709,7317.47,1068.34
1678,Tanzania,Truck,60,6.3,2266,2352.52,194.83
1164,Vietnam,Air,30,3.5,953,1593.67,10.07
914,Tanzania,Air,60,7.71,75,1262.36,5.15
3060,Haiti,Air,240,1.43,751,5754.16,3.65
3912,Tanzania,Air,30,50.4,4093,9339.0,4939.2
4522,Nigeria,Air,100,89.0,1248,13383.47,338.21
3283,South Africa,Air,60,2.92,4528,6369.79,241.75
1682,Zambia,Truck,60,2.33,503,2355.79,60.68
222,"Congo, DRC",Air,60,2.33,6,522.42,0.02
1474,Dominican Republic,Air,30,20.0,170,1965.62,47.06
1217,Nigeria,Air,30,12.01,236,1651.16,19.81
3795,Zambia,Truck,60,6.52,8528,8635.96,670.26
5881,Uganda,Air,60,8.26,6481,36226.26,510.88
739,Mozambique,Truck,60,2.33,79,1078.61,5.61
4406,Nigeria,Air Charter,30,8.82,4502,12601.07,727.65
5435,Rwanda,Truck,60,2.26,17140,23340.84,414.14
2796,Haiti,Air,30,20.0,670,4909.72,123.7
4206,Haiti,Ocean,30,3.3,3823,11051.22,134.18
616,Rwanda,Truck,60,4.5,71,961.06,6.56
3376,Ethiopia,Air,60,2.9,2031,6774.59,159.69
3952,Rwanda,Air,100,71.99,340,9479.89,172.78
1674,Vietnam,Air,60,7.08,1364,2348.57,147.32
4780,South Africa,Ocean,30,4.53,9280,15331.51,1056.06
740,Vietnam,Air,240,1.85,173,1079.39,0.31
6004,Ethiopia,Air,1,23.0,4922,46117.09,315.65
187,South Africa,Ocean,240,2.26,6876,461.5,71.22
3830,Rwanda,Air,100,80.0,468,8806.76,94.08
5229,Ghana,Air,30,1.56,2343,20464.55,52.92
3368,Zambia,Truck,30,11.5,7579,6759.28,2073.68
5311,Nigeria,Air Charter,30,8.23,1794,21326.7,249.24
292,Botswana,Air,20,32.0,17,617.79,2.64
5034,Zambia,Air,20,32.0,1907,17975.84,344.96
3958,Ghana,Air,30,3.19,1874,9507.26,108.69
1322,Haiti,Air,300,33.7,126,1767.91,5.0
2482,Vietnam,Air,30,10.5,2719,4084.56,207.24
468,Côte dIvoire,Truck,30,13.52,235,814.06,36.14
5334,Vietnam,Air,60,7.5,2348,21439.59,300.0
307,Burundi,Air,60,2.21,35,638.65,1.19
2035,Malawi,Air,20,32.0,86,3133.86,11.04
1127,Namibia,Air,25,75.0,43,1542.15,8.4
582,Haiti,Air,60,54.0,42,926.3,6.16
1704,Uganda,Air,60,11.8,215,2408.91,43.78
1089,Uganda,Air,300,30.82,120,1487.76,2.38
1303,Nigeria,Air,540,45.52,115,1755.87,2.48
196,Zimbabwe,Truck,60,2.95,248,481.71,0.37
2678,Vietnam,Air,60,14.49,30,4525.05,6.98
4866,Vietnam,Air,30,12.33,1955,16095.39,443.88
6025,Nigeria,Air Charter,60,2.15,935,49199.75,30.86
3335,Uganda,Truck,60,11.22,1518,6561.51,113.65
4400,Côte dIvoire,Truck,30,3.81,3367,12589.74,185.67
768,Haiti,Air,60,1.38,16,1109.0,0.61
5003,Tanzania,Air,60,2.6,3380,17603.58,160.67
455,Haiti,Air,30,9.0,32050,806.55,9.88
283,Sudan,Air,20,32.0,19,594.51,3.06
5410,"Congo, DRC",Air,1,5.0,981,22892.07,21.72
2681,Zimbabwe,Truck,30,10.52,7831,4529.65,776.63
5457,Côte dIvoire,Truck,30,10.52,6107,23753.64,687.31
6095,Cameroon,Air,30,11.15,4962,63818.03,520.42
2861,Côte dIvoire,Air,120,36.16,731,5121.69,252.59
3886,Nigeria,Air,60,1.55,925,9185.15,33.18
2328,Côte dIvoire,Air,240,2.1,2633,3688.33,29.25
4855,Haiti,Ocean,60,3.95,16350,16028.78,13.4
114,Mozambique,Truck,60,2.33,181,315.51,12.91
1282,Ethiopia,Air,90,16.0,182,1722.0,43.32
1525,Uganda,Air,300,30.82,136,2077.87,2.53
3499,Zambia,Truck,30,3.81,11334,7317.48,829.03
3572,Uganda,Truck,60,2.44,1331,7504.0,62.77
231,Uganda,Air,60,1.49,4,526.41,0.18
2222,Côte dIvoire,Air,30,24.0,300,3489.46,46.57
685,Nigeria,Air,60,2.9,65,1020.98,6.03
5676,Côte dIvoire,Truck,120,18.9,7355,28647.52,644.49
5179,Ethiopia,Air,1,23.0,2509,19882.25,156.43
85,Kenya,Air,20,32.0,4995,275.0,313.29
4151,Mozambique,Air,20,32.0,2766,10698.63,178.18
857,Sudan,Air,100,12.0,3,1209.56,0.65
2933,Côte dIvoire,Air,60,28.0,655,5300.24,184.8
498,Haiti,Air,180,16.96,1979,853.07,159.43
5470,Tanzania,Air,100,80.0,1374,24000.91,323.47
3669,Namibia,Air,20,32.0,278,7936.81,40.77
599,Sudan,Air,100,8.0,2,942.64,0.05
5272,Nigeria,Air Charter,120,21.78,7733,20761.0,188.97
3194,South Africa,Ocean,30,6.65,4868,6121.41,572.3
3411,Zimbabwe,Truck,60,2.76,2232,6933.76,207.92
206,Uganda,Air,60,91.5,28,501.0,41.37
3737,Zambia,Truck,30,8.0,20144,8281.69,1881.6
2852,Zambia,Air,240,2.1,671,5110.76,7.41
433,Haiti,Air,100,72.0,12,785.88,1.15
5340,Tanzania,Air,120,33.7,4727,21584.02,1112.1
4506,Côte dIvoire,Air,60,7.4,4026,13325.0,473.6
3110,Mozambique,Truck,30,3.33,12264,5902.4,38.54
6019,Uganda,Air,100,80.0,1317,47892.57,300.05
5687,Nigeria,Air Charter,60,8.11,51698,28812.57,1667.42
2694,Zambia,Truck,60,6.52,3704,4562.72,90.72
5769,Nigeria,Air,100,89.0,2493,31090.27,563.41
710,Burundi,Air,60,8.29,111,1047.34,9.84
4992,Tanzania,Air,100,80.0,989,17512.52,232.4
770,Nigeria,Air,30,26.25,58,1110.5,26.92
3846,Uganda,Air,60,2.26,1447,8854.24,55.34
5930,Côte dIvoire,Ocean,120,30.82,5139,40289.0,1046.55
3078,Mozambique,Truck,60,11.46,4395,5816.47,20.41
2433,Zambia,Truck,240,1.8,7469,3949.19,59.4
5485,Zambia,Truck,60,3.4,8554,24405.0,422.82
2522,Haiti,Air,100,350.0,144,4185.29,41.16
2949,Tanzania,Truck,60,2.15,1673,5364.61,25.83
1561,Vietnam,Air,60,8.38,23,2149.05,5.36
1337,Côte dIvoire,Air,30,7.58,150,1789.85,15.58
4769,Nigeria,Air Charter,60,11.22,20845,15322.73,183.04
2113,Tanzania,Truck,30,4.22,8474,3279.25,955.8
3179,Zambia,Truck,60,2.51,1252,6079.27,46.19
2772,Tanzania,Truck,60,2.3,1221,4847.8,26.49
333,Dominican Republic,Truck,168,144.0,268,666.66,107.42
5290,Haiti,Air,1000,6.57,3221,21015.77,0.39
1564,Côte dIvoire,Truck,60,4.0,105,2151.95,10.89
5385,Tanzania,Air,25,20.0,3349,22523.12,330.0
4348,Haiti,Air,30,5.78,2342,12016.69,332.88
6069,Uganda,Air,30,4.34,13087,56372.66,255.48
3291,Côte dIvoire,Air,240,13.6,215,6406.54,17.24
4596,South Africa,Ocean,30,6.65,12208,13829.57,1435.2
4300,Nigeria,Air Charter,30,5.78,15,11637.64,1.9
6196,Rwanda,Air,1,24.5,18667,289653.2,848.58
2614,Nigeria,Air,60,3.4,231,4401.4,16.35
744,Côte dIvoire,Air,60,2.73,394,1083.3,24.42
4573,Vietnam,Air,60,10.99,3408,13674.64,442.97
3771,Côte dIvoire,Truck,30,4.63,2000,8499.16,95.19
3556,Nigeria,Air Charter,60,11.4,654,7445.8,129.6
5431,Tanzania,Air,100,80.0,1300,23269.06,306.98
346,Botswana,Air,100,350.0,48,684.42,13.72
5216,Nigeria,Air,60,7.21,16417,20264.93,243.28
2680,Tanzania,Truck,30,6.07,1248,4529.5,127.88
5520,South Africa,Ocean,30,4.51,21205,25129.15,1856.65
5522,Tanzania,Air,25,20.0,3336,25165.3,320.0
4935,Nigeria,Air,30,26.25,1564,16864.58,922.65
3599,Nigeria,Air,30,26.25,1114,7641.1,533.23
4504,Zimbabwe,Air,60,7.4,4080,13317.2,440.92
373,Rwanda,Air,60,6.76,5,721.36,0.85
1778,Côte dIvoire,Air,120,99.85,271,2527.94,322.93
3302,Nigeria,Air,30,26.25,14,6443.61,7.36
946,Sudan,Air,20,32.0,53,1310.92,11.04
3048,Haiti,Air,60,6.73,1216,5698.48,94.27
2431,Uganda,Air,60,2.73,306,3945.33,3.53
4900,Nigeria,Air Charter,60,2.51,14810,16532.5,175.95
2495,South Africa,Air,60,2.53,3230,4116.81,366.12
4333,Kenya,Air,20,32.0,2695,11898.8,252.21
2058,Mozambique,Air,20,32.0,149,3165.69,19.16
4932,Haiti,Air,240,2.1,1596,16840.67,11.78
4150,Kenya,Air,30,22.0,2020,10682.41,181.44
5068,Nigeria,Air,30,5.36,5897,18461.22,187.87
537,Mozambique,Truck,60,1.4,43,888.93,1.24
4574,South Africa,Ocean,60,2.47,9173,13677.67,1007.22
3192,South Africa,Ocean,30,6.65,4008,6121.39,471.14
4811,Côte dIvoire,Truck,60,7.27,3653,15614.89,190.27
1395,Côte dIvoire,Air,25,20.5,111,1857.39,7.38
2744,Vietnam,Air,120,82.2,445,4755.76,322.55
3117,Vietnam,Air,30,12.36,120,5921.97,39.87
5157,South Africa,Ocean,30,4.51,10,19518.98,1.17
674,Mozambique,Truck,60,7.2,3918,1012.43,1440.12
5333,Côte dIvoire,Air,60,11.22,7916,21397.38,225.28
3684,Zambia,Truck,60,20.99,8819,8022.59,106.97
3218,Nigeria,Air Charter,60,11.22,7253,6147.18,1332.16
2926,Haiti,Air,180,16.96,687,5293.76,54.57
3558,Nigeria,Air Charter,60,11.4,2666,7445.8,528.88
1550,Haiti,Air,60,7.21,123,2136.1,35.44
4942,Uganda,Air,60,2.34,3528,16938.13,201.07
4664,Nigeria,Air,540,35.21,10,14515.44,138.02
944,Tanzania,Air,60,26.09,103,1308.4,48.86
2197,"Congo, DRC",Air,60,7.02,324,3436.14,10.13
4257,Tanzania,Air,60,8.1,2368,11363.07,162.77
383,Rwanda,Air,60,33.85,17,733.64,7.52
1274,Sudan,Air,100,89.0,36,1712.6,11.31
4746,Kenya,Air,100,89.0,1407,15200.59,1569.23
2653,Mozambique,Truck,60,8.11,7041,4486.01,392.74
6111,Zambia,Truck,30,10.78,82137,67855.39,3906.35
2077,Tanzania,Air,60,7.72,454,3219.93,35.94
633,Sudan,Air,100,89.0,11,978.41,3.23
3633,Haiti,Air,240,1.92,1133,7789.85,11.42
1850,Sudan,Air,25,20.0,244,2701.16,0.56
936,Côte dIvoire,Air,200,1.4,115,1297.57,3.29
4072,Uganda,Truck,30,4.63,2389,10011.25,90.84
5579,Uganda,Air,30,4.79,7549,26095.99,449.68
4396,Haiti,Air,60,1.52,1154,12508.65,11.49
4839,Zimbabwe,Truck,30,10.78,37973,15873.95,3000.34
1226,Tanzania,Air,20,32.0,113,1661.01,12.14
1685,Tanzania,Air,30,19.92,483,2367.4,136.83
5731,Mozambique,Truck,60,8.58,36920,29935.05,1273.62
4809,Zimbabwe,Air,300,30.82,1374,15593.13,64.81
5713,Rwanda,Air,60,9.0,2768,29603.24,607.94
5766,Rwanda,Air,60,2.44,3771,31029.99,136.84
5497,Côte dIvoire,Air,100,80.0,1033,24728.57,435.42
5513,Côte dIvoire,Air Charter,60,8.26,6410,24940.97,191.91
6100,Tanzania,Truck,60,7.4,13253,64506.78,1460.07
2494,Zambia,Air,100,71.99,455,4113.16,230.37
5921,Nigeria,Air,100,89.0,2425,39069.63,658.69
4901,Nigeria,Air Charter,30,15.04,2091,16532.5,361.08
5952,Côte dIvoire,Truck,60,8.58,22043,41802.56,105.59
2246,Zambia,Truck,30,11.89,638,3526.7,56.86
1945,Haiti,Air,1,24.5,240,2933.25,10.61
3347,Zambia,Air,60,2.25,1273,6637.36,28.74
4478,Rwanda,Air,240,8.5,1631,13116.57,54.03
1740,"Congo, DRC",Air,60,7.02,288,2460.79,8.99
1884,Mozambique,Truck,240,1.95,2987,2779.53,25.74
5524,Nigeria,Air,100,89.0,1186,25193.28,342.39
4109,South Africa,Ocean,60,7.3,5177,10405.58,1204.5
533,Zambia,Truck,60,2.23,633,886.11,23.82
5245,Nigeria,Air,100,89.0,1248,20602.3,338.32
1104,South Sudan,Air,20,32.0,82,1504.59,10.77
3690,Zambia,Truck,60,2.51,8783,8045.77,757.62
5655,Nigeria,Air,20,27.0,3045,28118.58,432.0
1554,Zimbabwe,Truck,60,3.28,357,2143.49,33.02
25,Mozambique,Truck,60,2.58,183,112.87,8.05
1223,Côte dIvoire,Air,180,16.96,805,1659.71,100.08
3137,Tanzania,Truck,30,5.74,2746,5989.25,246.62
1697,Uganda,Air,30,11.75,105,2393.54,32.93
5326,Nigeria,Air Charter,60,2.33,57,21347.13,2.39
4669,Nigeria,Air Charter,30,14.57,3917,14547.55,68.85
469,Haiti,Air,200,12.59,22,817.99,1.53
3013,Côte dIvoire,Air,20,27.0,685,5557.27,120.38
2895,Zambia,Truck,60,12.96,645,5213.01,17.67
4082,Nigeria,Air,60,13.28,2095,10098.25,3.48
3049,Nigeria,Air Charter,60,3.89,2847,5703.06,221.59
3181,South Africa,Air,30,4.67,4564,6105.79,543.24
5725,Nigeria,Air Charter,30,4.04,779,29780.5,41.89
4643,Zambia,Air,300,30.82,2410,14384.91,81.39
5113,Zimbabwe,Air,100,72.0,1000,18841.09,286.4
4356,Vietnam,Air,60,5.69,2933,12067.26,369.01
1211,Tanzania,Air,30,7.3,269,1647.25,47.22
3869,Uganda,Air,30,5.78,907,9044.65,56.64
4280,Zambia,Truck,30,26.25,88190,11519.94,5145.0
202,"Congo, DRC",Air,60,2.33,1,491.43,0.07
671,Haiti,Air,100,97.68,8,1011.6,5.32
703,Uganda,Air,30,13.0,4,1045.04,1.68
4906,Mozambique,Air,60,8.11,3138,16537.12,192.09
2531,Tanzania,Air,60,9.5,1008,4207.4,144.04
5273,Nigeria,Air Charter,120,21.78,1094,20761.0,103.21
351,Guyana,Air,20,27.0,28,692.38,5.29
3811,Uganda,Air,60,1.85,2773,8723.46,103.8
3975,Tanzania,Air,30,4.22,2996,9639.1,24.32
3381,Zambia,Truck,60,2.95,537,6800.6,43.43
525,Burundi,Air,30,27.6,63,877.52,19.3
4110,South Africa,Ocean,240,2.02,17436,10446.36,210.2
2558,South Africa,Air,30,4.67,3005,4263.07,320.93
2253,Tanzania,Truck,30,10.87,5175,3541.59,619.41
4261,South Africa,Ocean,60,2.37,7698,11372.23,779.41
32,Guyana,Air,20,29.0,7,130.0,0.9
4218,Rwanda,Truck,60,2.21,1878,11085.83,83.83
4917,Uganda,Truck,60,11.22,2356,16682.66,483.81
3566,Côte dIvoire,Truck,30,3.21,1766,7481.81,134.13
1581,Tanzania,Air,60,5.94,209,2177.56,12.96
5367,Tanzania,Air,25,20.0,3334,22086.15,330.0
6048,Nigeria,Air Charter,60,7.72,24904,51677.0,1503.05
1865,Côte dIvoire,Air,60,3.04,206,2731.58,15.3
3509,Nigeria,Air Charter,60,11.4,452,7329.83,89.24
5812,Ethiopia,Air,240,1.95,11101,33216.14,82.02
3624,Mozambique,Truck,30,3.56,3140,7733.77,167.34
1535,Tanzania,Air,336,38.36,547,2094.0,9.64
4968,Nigeria,Air Charter,90,8.64,307,17090.0,25.04
177,Uganda,Air,120,75.0,47,449.0,15.14
587,Haiti,Air,180,16.96,30,933.09,1.9
5840,Nigeria,Air Charter,30,3.33,857,34218.36,36.73
4682,Zambia,Air,20,32.0,2328,14581.51,301.31
5402,Zimbabwe,Air,300,36.16,1257,22837.98,84.43
2806,South Africa,Ocean,60,2.72,10536,4957.81,434.3
734,Haiti,Air,60,9.04,44,1075.54,5.85
5984,Ethiopia,Air,1,23.0,5057,44347.71,257.53
2437,Tanzania,Air,60,2.73,699,3952.34,19.54
1988,Vietnam,Air,60,7.0,81,3013.09,4.48
2645,Zambia,Truck,60,2.33,1084,4471.07,108.9
2295,Tanzania,Truck,30,5.74,816,3623.2,72.9
5366,Tanzania,Air,100,80.0,1186,22067.21,307.77
5255,Nigeria,Air Charter,60,4.6,104,20666.07,5.43
2296,Zambia,Truck,60,3.4,2503,3629.37,296.09
5282,Cameroon,Air Charter,60,2.26,1733,20893.21,55.03
4431,Rwanda,Air,60,13.15,718,12688.85,128.78
1693,Zimbabwe,Air,60,7.0,169,2387.62,6.47
2988,Nigeria,Air,20,27.0,483,5468.88,61.56
382,Malawi,Air,20,32.0,29,732.72,2.96
